ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados,Fecha
943,Navarra,3,0.46,1,0,NA,NA,NA,09/03/20
950,País Vasco,149,6.75,5,5,NA,NA,NA,09/03/20
949,La Rioja,81,25.57,1,0,NA,NA,NA,09/03/20
935,Andalucía,71,0.84,1,0,NA,NA,NA,10/03/20
936,Aragón,38,2.88,3,3,NA,NA,NA,10/03/20
951,Asturias,22,2.15,2,0,NA,NA,NA,10/03/20
947,Baleares,13,1.13,1,0,NA,NA,NA,10/03/20
948,Canarias,25,1.16,1,0,NA,NA,NA,10/03/20
937,Cantabria,12,2.07,0,0,NA,NA,NA,10/03/20
939,Castilla La Mancha,39,1.92,2,0,NA,NA,NA,10/03/20
938,Castilla y León,56,2.33,2,0,NA,NA,NA,10/03/20
940,Cataluña,124,1.62,0,3,NA,NA,NA,10/03/20
